sentence,style
the movie The In-Laws not exactly a holiday movie but funny and good!,informal
that page did not give me viroses(i think),informal
"of corse i be wachin it evry day, my fav charachter is Inuasha",informal
runescape.com (my kids love it) & funbrain.com  (educational),informal
Is he gay?He was on Late Night with Conan O'Brien and he seemed pretty gay,informal
"id have to say mel gibson, a strong [god] beliver!!!",informal
i don't know.and my exams r not over yet still 1 remaining i.e on 23-dec.,informal
Spy Kids 3D: Game Over 20.,informal
because his mom was a wafer so long,informal
Hope that helps or am I entirely off here?,informal
Yes he does he her name is jessica,informal
www.us.imdb.com is probablly one of your best bets!,informal
Anyways Titanic is my favorite Movie i cry all the time i see it!,informal
it gives us something to do!,informal
"his cool,or more than that maybe,",informal
"Some people really, really like MLB, I guess.",informal
"I don't have that model (it's new), but I have the Creative Zen Micro and like it a lot.",informal
I've watched it and it is AWESOME!!!!,informal
She cant sing for her life!,informal
"i dont know, but he iss wayyyy hottt",informal
MAYBE AT 20 YEARS OLD AND YOUR MARRIED.,informal
Am I getting pay for this?,informal
"You should really listen to some real... what the heck, what the first answerer said.",informal
he could fly that plane ha ha.,informal
"Cool book, cool story, cool movie.",informal
"It's not good for you, dude.",informal
"Or even it's open to not interpret it at all, just enjoy it :)",informal
"Haven't seen the tv series, but R.O.D.",informal
"he urinates batman, and loses weight in water loss...lol",informal
I like to spend my time with myself,informal
A guy walks into a bar... ouch!,informal
of course downloading music from other computers is illegal but u can do wat u want to do.,informal
go to yahoo.com and click on images and type his name in in click on yahoo search.,informal
"He and the other guys (Nick, Rich, David) agreed on Final Cut.",informal
To get to the toher side,informal
I didn't know they had an HBO in the 80's,informal
"yes , exept for episode iv.",informal
Go to www.oprah.com and look there.,informal
"1) Don't use all capitals...it's bad internet manners  2) No  (**  )<| Dead Fish Ollec, the Fish Slayer",informal
these movies would make anyone cry.,informal
Lo que me gusta es que tu te dejas llevar (Duro!),informal
But it was entertaining....that's what I want for my $8.00 admission!,informal
"skip that dude that said he knows the lead singer, hes lying.",informal
you... your mom and your pp.. i am first do i get the points?,informal
"Rest assured, tho...Showtime is talking about picking it up, so it will be better!",informal
depends on how much money and drugs you have,informal
The Bangles Hazy shade of Winter...,informal
but the longest word in the dictionary is  antinonestablishtarianism  i think thats how u spell it!,informal
Probably at the ricky ticky tavy store.,informal
"Hail, Hail, The gang's all here,  And it good-bye to all the rest!",informal
"BIG, SLEEPLES IN SEATTLE AND I HOPE THE DA VINCI CODE",informal
You don't want to go to  hell.,informal
that wild and sexy lady is quite a hot babe...from Brazil,informal
THE WORD IS NOT ENOUGH AND TOMORROW NEVER DIES,informal
"My daughter, my sister, and one of my exes.",informal
No theres no side project...Fort Minor is just a name he's using.,informal
But hey I like all kinds of music from all different eras too.,informal
Thats why i listen to dance and techno,informal
they are ok but they'll have to buy tickets to the HOF like the rest of us...,informal
"nope, i have tried , you can't.",informal
i dont know.but i think so,informal
"no, but I can lick my mom's elbow",informal
THE SECOND THING IS MY MIND WHICH USE OTHERS MORE BY ASKING SUCH RIDDLES.,informal
But try re-posting your question...  Im just cleaning up the old questions with 1 answer... =),informal
"Screw playing, watch the new years Specail!!!",informal
as the world turns slim shady LP  but he suckd after The Eminem Show,informal
"HERE IS THE OTHER STUFF YOU CAN GET FREE, AND ITEMS I HAVE ALREADY GOT FREE!",informal
Davey Jones and then it was Ann Murray,informal
you bet your ass he  is!,informal
i still think she's a SLUT!,informal
Day Three - I receive the movie they sent me.,informal
LOL*  Gotta give credit were credit is due!!,informal
avenge sevenfold  or  my chemical romance,informal
"There is nothing wrong with this, as he treated her right.",formal
It is really upsetting how much boys love themselves.,formal
"If she like you, then she should know you are new at this.",formal
That depends on your but who would you want to?,formal
It is bothering me because I would like to do this with him but I also want to wait.,formal
"If you are interested in another man, you should mention that.",formal
"Is it that you do not have one, or you are having trouble with the one you have?",formal
He is not an addict or anything of the sort.,formal
"Be friendly, not assertive.",formal
He probably did not answer your calls because he was truely busy.,formal
Ast them when they are taking a lie detector test.,formal
I like him but I do not love him.,formal
"You should go the the gym and work out, practice speing with a lower voice, and act confident.",formal
I recommend that you be direct and candid with your friend.,formal
You can pick someone better.,formal
Tell him that your child needs him.,formal
"I feel old as well, even though I am 20.",formal
Don't lose everything to sex.,formal
Why can they con treat us with respect?,formal
"If he is still talking to her, he is probably cheating on you or something close to it.",formal
"Once she leaves him, karma will come around and it will go back to him.",formal
"""I would say that in most cases, """"Yes.""""""",formal
Women are not ready. You need to help.,formal
Do not ask. Let him it on his own.,formal
"If I had to choose, black men. White men do not do it for me.",formal
"No, if you already broke up with her, find another woman.",formal
How do I tell him that i am pregnant with his child without him getting very angry.,formal
Make it short and to the point.,formal
Would you like to be called names?,formal
Me and my fiance are like that.,formal
My guy does tell me that it gives him an opportunity to tell me beautiful I am.,formal
"I also like kids, but I am not the one.",formal
It is not just a guy thing.,formal
"Well, I would not just drop my friends just because we had an argument.",formal
Do you see yourself happy for the rest of your life with this person?,formal
"Consider the reason that the two of you broke up, and then move on yourself.",formal
"If you go where your penis leads you, it could be in the wrong direction.",formal
I could please use some advice from other people.,formal
"Break-up with the one that you have, she will be shocked.",formal
"Also, a personality which is not too bad.",formal
I am not of the view that women are poor liars.,formal
"Although it repulses me, others get intense please from it, I suppose.",formal
I think it may be only normal to cool off.,formal
You need to ask yourself if you are intersted in him.,formal
"In my opinion, that does not sound like a good friend.",formal
"If you are attracted to men and women, you are bisexual.",formal
"She should have the heart, not playing with someones heart.",formal
"First, you should choose one man that you love.",formal
"Men are people too, and have feelings just as women do.",formal
I can't find any reason.,formal
I wouldn't want my boyfriend to have lunch with another woman especially on Valentine's Day.,formal
"Marriages break up for many reasons, like money, kids, stress, etc.",formal
"For an older child, try Putt Putt Golf, laser tag, or go-karts.",formal
My boyfriend and I broke up after eight years.  I really did love him.,formal
I am very mature for my age.,formal
"When you find your gem, hopefully he will want you for you.",formal
"You had an intimate interlude with her, she is the boss, and that is just that.",formal
I do not know how to deny someone and still be friends with them.,formal
If you do not tell him the truth you will always wonder .,formal
Go slow and steady because I am a man.,formal
Tell him when you are in private at the right moment.,formal
If you are patient you may be rewarded.,formal
That will show her she is important compared to your friends.,formal
"No that is not true, it should always be about the outside of a woman.",formal
He is as clueless as I am.,formal
I have been nice to her continuously. What else is there to do?,formal
What kind of father does that make him?,formal
"In the event she causes you emotional pain, I don't deserve the blame. You should have neglected to obey my counsel.",formal
"I adored this man, however, subsequent to my humiliation by him in front of a 40-person crowd, I'm unsure of my emotions!",formal
Perhaps the pair of you require a period of separation.,formal
A simple method for communicating his desire for a mere rendezvous.,formal
Or simply enthused regarding their romantic relationship?,formal
"If he wants to be friends, then be friends.",formal
I wonder why they have to fight.,formal
That is all they think of.,formal
We're not mind readers.,formal
"Sometimes, men say things just to play with you.",formal
Probably because you're single and don't have a date.,formal
"If you find yourself in a mess, you have to clean the mess.",formal
Do any of the women here use the sample cosmetics at the mall?,formal
One day surprise him with a kiss.,formal
"It depends on if he enjoys games about war, or sport, or role play.",formal
"All men do it, even when they're married.",formal
I enjoy thinking about different men. I suppose it is alright.,formal
But a woman will never admit it.,formal
"If you are asking this, then you love your wife.",formal
"If he does not know you, then it will be difficult but worth attempting.",formal
Brush your mouth twice and you will be fine.,formal