text,label
he had steel balls too !,toxic
"dude should have been taken to api , he would be right at home with all the other knuckleheads there",toxic
"im not gonna sell the fucking picture , i just want to contribute to the fucking article .",toxic
the garbage that is being created by cnn and other news agencies is outrageous .,toxic
the reason they dont exist is because neither is a pathological liar like trump .,toxic
i hope they beat each other silly .,toxic
no good bastards that we are and we are unrepentant about it .,toxic
stop the coverage and let em rot .,toxic
delete the page and shut up,toxic
every time you flag the post like a coward you make my point .,toxic
only to replaced by another braindead consensus .,toxic
more proof that liberalism might be a mental disorder .,toxic
it would be stupid not to .,toxic
"i was just feeding him back his own , hypocritically selfrighteous words .",toxic
"i want you all to myself , you sexy beast .",toxic
the stupid dems cheered when a sp was appointed .,toxic
some idiots put that to overshadow the war .,toxic
"disgusting , immoral people , rightwing extremists , who should be driven out of office asap .",toxic
"hello , you sexy little lovehole ! .",toxic
neither will anything change from this crap .,toxic
im here reading the usual garbage posts from the usual right wing suspects .,toxic
time to pull this rubbish .,toxic
you have neither the honesty nor the maturity to admit that you said something stupid .,toxic
"the same government that dont know its elbow from their ass , that cant even manage a shebeen properly .",toxic
what a chicken crap excuse for a reason .,toxic
the election of van der bellen was a victory for stupidity and cultural suicide .,toxic
crazy like a fox the wily president trump kept slimy james comey on the straight and narrow .,toxic
"clinton is a loser , twice .",toxic
if you arent frightened i think you are an idiot,toxic
"damn , he was back home and should have stayed there .",toxic
you tried make an irrelevant point by using a really dumb generalization .,toxic
"jeez , our voters vote in some stupid people .",toxic
i dont remember any stupid moves .,toxic
government sucks the life out of an economy .,toxic
some idiots no longer believe in national sovereignty .,toxic
"he traveled to amarillo , from alaska , and proceeded to make an arse of himself .",toxic
how many niggers does it take to change a light bulb ?,toxic
"if he was such a bad driver and got into stupid situations , i would not bailed him out .",toxic
he is working with russia to take down america and clowns like you are too clueless to notice .,toxic
it is truly incredible how hypocritical you are .,toxic
damn those young mothers driving their children to daycare through the snow drifts .,toxic
mckenna social justice warrior but big spender hypocrite on expensive government vehicles cut ! .,toxic
"its a crock of shit , and you know it .",toxic
wikipedia review and tell the world why you not a grand dickhead,toxic
we arecountry of losers and abusers .,toxic
"good , dont let the door hit you in the butt as you leave this conversation mr .",toxic
will never willingly watch that crap ever again .,toxic
she is looking like shite .,toxic
btw jonhson county is a real shithole in case you were wondering .,toxic
only churches give a crap it seems .,toxic
may karma be with this scumbag .,toxic
"hey , you are a chicken shit coward .",toxic
why are canadians so taken up with hockey when their teams are all losers ?,toxic
canada would be very glad to be mexicos soul mate if mexico would stop being such a mess .,toxic
"however , she is not out saying stupid things like trump on a daily basis .",toxic
"keep crying me a river , bitch boy .",toxic
"oh , one more thing , when it comes to prehistoric life , you guys are idiots !",toxic
"since only idiots would take politcal cues from facebook , i can see why the democrat party is alarmed !",toxic
micronesians are being treated like cockroach families ? .,toxic
"this garbage has a right to speak , no matter how vile his message .",toxic
theyre from the same dung heap .,toxic
"would he have ended these cash for access , buy a political whore events if he wasnt caught ? .",toxic
"until feminists take on islam and how it treats women , the entire movement is a total farce !",toxic
countless crap has been spotted by me .,toxic
"dear alaexis , this kid is an asshole , does not understand anything , an idiot .",toxic
"this is all coming out of our darned pockets , and i am not confident !",toxic
outsideryou are an idiot to make such an ignorant remark .,toxic
i didnt vote for the liar,toxic
i wouldnt spend dollar one in that racist hellhole .,toxic
do they think we are really stupid or just too lazy to stop them ? .,toxic
"thats not a policy , thats nothing but bull pucky for the ignorant masses .",toxic
you dont need to be hurting their families even more by posting ignorant judgemental comments .,toxic
better than any of the bums currently quarterbacking this sht show .,toxic
the free world doesnt need your stupidity .,toxic
i stand by my ridiculous statement that planned parenthood and the illegal alien apologists were behind the marches .,toxic
now to digest it for you the above sentence ( quoted ) is downright stupid .,toxic
thats all the garbage you can come up with to bash trump ?,toxic
can you see how ridiculous these cases are becoming ?,toxic
the ship of fools are sailing full speed ahead .,toxic
"did you read the article at all , or are you just another one of the gupta stooges ?",toxic
"easy answer to the last question , of course hes dumb .",toxic
theyre despicable scum trying to take healthcare from millions so they can give tax breaks to billionaires .,toxic
"he is morally bankrupt , intellectually lazy , and preternaturally greedy hewell quit before hes impeached .",toxic
so sad the voters in her district are stupid enough to continue to elect her .,toxic
the second is also untrue to the point of idiocy .,toxic
"for these two fat , dumb , and stupid is no way to go through life .",toxic
"im sure some is political bias , some cover your butt and pretend theres nothing wrong .",toxic
the us is one sick crazy hell of a place .,toxic
hell no dont you fucking talk back to me,toxic
"wow , talk about an ignorant comment .",toxic
thank you for taking the time to display for all your riveting ignorance .,toxic
read a book you antisemite !,toxic
this whole article sucks the balls .,toxic
will corrupt twisters of rotten laws make flimsy excuses for their abuses ?,toxic
so i would presume their use of our tax dollars amount to over a million dollars idiot ! .,toxic
im more likely to switch back to conservative than vote for these clowns .,toxic
the only reason this stupidity is allowed to happen is because its federal land .,toxic
this idea seems to be a rather ignorant one .,toxic
up yours you incompetant administrator .,toxic